# Image list with two lines of data per image:
#   IMAGE_ID QW QX QY QZ TX TY TZ CAMERA_ID NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 180, mean observations per image: 0
104 0.5988184377 0.7690315664 -0.1740468555 0.1404087627 -1.996928486 0.3589102133 -0.6087056006 4 left_fisheye_image/00020.jpg

105 0.1395227151 0.1754938379 0.7695945476 -0.5978792162 1.991917477 0.1039678692 0.4987344036 5 right_fisheye_image/00020.jpg

106 0.578769276 0.7633013156 0.2278601557 -0.1745765626 -1.668083928 -0.1505148648 1.244127459 1 back_fisheye_image/00021.jpg

107 -0.5619554577 0.8188505154 0.09695011306 -0.06550246181 -2.385068253 -0.9916356196 -0.7045603358 2 frontleft_fisheye_image/00021.jpg

108 -0.4277623332 0.7322732699 0.3787894857 0.3705587268 -0.386937838 -1.002493842 -2.400076647 3 frontright_fisheye_image/00021.jpg

109 0.5365209655 0.6996786509 -0.3723192471 0.2897816718 -1.651358027 0.6539614258 -1.65491732 4 left_fisheye_image/00021.jpg

110 0.2928835801 0.3684628684 0.693397505 -0.5455769636 1.67463687 -0.1426170095 1.559777419 5 right_fisheye_image/00021.jpg

111 0.5792023974 0.7630460163 0.2229904574 -0.1804456035 -1.680142923 -0.175124919 1.468051773 1 back_fisheye_image/00022.jpg

112 -0.5649893035 0.8157311707 0.1001076853 -0.07313135745 -2.461090291 -1.099059402 -0.8368145888 2 frontleft_fisheye_image/00022.jpg

113 -0.4284993153 0.7336721125 0.3830074639 0.36251738 -0.3027743606 -1.111583808 -2.530087444 3 frontright_fisheye_image/00022.jpg

114 0.5325625373 0.7021828055 -0.3732491584 0.2898301526 -1.799741422 0.6549253006 -1.636743127 4 left_fisheye_image/00022.jpg

115 0.2956748784 0.3673265464 0.6904319523 -0.5485902786 1.785521907 -0.1174555789 1.540110755 5 right_fisheye_image/00022.jpg

116 0.5810683577 0.7615925849 0.2316488672 -0.1693372394 -1.567885507 -0.2655410145 1.617975229 1 back_fisheye_image/00023.jpg

