# Image list with two lines of data per image:
#   IMAGE_ID QW QX QY QZ TX TY TZ CAMERA_ID NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 115, mean observations per image: 0
33 -0.5517806806 0.7628339384 -0.3215886353 -0.101010953 -1.262430456 0.1844520018 0.1145932631 3 frontright_fisheye_image/00006.jpg

34 -0.1031422074 -0.1413998794 0.7818442779 -0.5984039474 1.312570229 0.5097779658 -1.024701448 4 left_fisheye_image/00006.jpg

35 0.6119748871 0.7709369053 0.1390290421 -0.108692001 -1.322619365 -0.0004262208987 0.9303409452 5 right_fisheye_image/00006.jpg

36 -0.2215873778 -0.2783253474 0.7429365174 -0.5669915044 0.7816879353 0.694894433 -1.917952362 1 back_fisheye_image/00007.jpg

37 -0.02746636602 -0.1579786494 0.8095169603 0.5647748543 1.271902541 0.4259193315 0.6351654618 2 frontleft_fisheye_image/00007.jpg

38 0.3975145888 -0.4320201987 0.7050863534 0.3977360102 0.05783078942 0.4412308242 1.470251407 3 frontright_fisheye_image/00007.jpg

39 0.2494652448 0.3213497936 0.7231267351 -0.5582016901 1.769298092 0.03882284322 0.7103610899 4 left_fisheye_image/00007.jpg

40 0.5630393274 0.7201543489 -0.3165191501 0.2533378321 -1.784647066 0.4044230981 -0.8200033266 5 right_fisheye_image/00007.jpg

41 0.1511129745 0.204723669 0.7693903278 -0.5859109248 1.760606304 0.1371947137 0.09825667762 1 back_fisheye_image/00008.jpg

42 -0.3539778083 0.3394466044 0.7499286335 0.4439400394 1.10530928 -0.4640204479 -1.576707655 2 frontleft_fisheye_image/00008.jpg

43 0.09435176318 0.0589090383 0.8234685687 0.5563514953 1.986482752 -0.5027095734 0.2791175838 3 frontright_fisheye_image/00008.jpg

44 0.5278181982 0.6813685744 0.4018271294 -0.309321473 -0.5288858537 -0.2244807324 1.682720055 4 left_fisheye_image/00008.jpg

45 -0.3110443624 -0.4021950226 0.6764530657 -0.5328243785 0.5085814384 0.6598465187 -1.801754059 5 right_fisheye_image/00008.jpg

46 0.5687736251 0.7451635544 0.2771593245 -0.2107381063 -1.430737652 -0.1576484581 1.238053148 1 back_fisheye_image/00009.jpg

47 -0.5633850602 0.8148002717 0.1303511915 -0.0413080866 -2.185231909 -0.9327849149 -0.7201071205 2 frontleft_fisheye_image/00009.jpg

48 -0.4206511941 0.7263069936 0.3892504203 0.3794928644 -0.3883386685 -0.9069827308 -2.215058 3 frontright_fisheye_image/00009.jpg

49 0.5455314677 0.7020500538 -0.3591224317 0.2838172277 -1.430836753 0.5895117736 -1.556795761 4 left_fisheye_image/00009.jpg

50 0.2956807759 0.3758460442 0.6925333556 -0.5401020099 1.33710904 -0.1646545571 1.510161028 5 right_fisheye_image/00009.jpg

51 0.5843444747 0.7647438564 0.21756484 -0.1624004602 -1.603035969 -0.1833540212 1.300180641 1 back_fisheye_image/00010.jpg

52 -0.55949126 0.8215936772 0.08249754765 -0.07174617882 -2.340617135 -0.9965833102 -0.8031185376 2 frontleft_fisheye_image/00010.jpg

53 -0.4320862636 0.7383458148 0.364824521 0.3674914795 -0.2663641058 -1.019010632 -2.421531622 3 frontright_fisheye_image/00010.jpg

54 0.5380139253 0.6893517202 -0.3803678268 0.3010905815 -1.70026394 0.5892655146 -1.56049962 4 left_fisheye_image/00010.jpg

55 0.297724386 0.3816316633 0.6926320225 -0.5347694315 1.714230458 -0.153463055 1.440474358 5 right_fisheye_image/00010.jpg

56 0.5848634248 0.763928848 0.2178231062 -0.1640139748 -1.584328546 -0.2560795364 1.609211305 1 back_fisheye_image/00011.jpg

57 -0.5586909078 0.8219790613 0.08346936895 -0.0724414027 -2.468029362 -1.137338418 -1.047933661 2 frontleft_fisheye_image/00011.jpg

58 -0.4318440951 0.7386862617 0.365599659 0.3663197696 -0.118867577 -1.148738048 -2.630410645 3 frontright_fisheye_image/00011.jpg

59 0.5375025736 0.6896518489 -0.3804450682 0.3012189582 -2.008327403 0.5877616577 -1.545544787 4 left_fisheye_image/00011.jpg

60 0.2978985536 0.3820361749 0.6916588016 -0.5356425254 2.019607485 -0.1449547886 1.424860711 5 right_fisheye_image/00011.jpg

61 0.5984373011 0.7812222108 0.1444602243 -0.1034209726 -1.971334402 -0.259725226 1.563933028 1 back_fisheye_image/00012.jpg

62 -0.5477984851 0.8271339675 -0.00057744708 -0.1255622796 -2.788978686 -1.104519964 -0.8117301668 2 frontleft_fisheye_image/00012.jpg

63 -0.4669616052 0.7709493331 0.2886944257 0.3228614464 -0.462014559 -1.130462387 -2.825894642 3 frontright_fisheye_image/00012.jpg

64 0.505143988 0.6477277827 -0.4471812807 0.3539875324 -1.964441426 0.6804005492 -1.929882862 4 left_fisheye_image/00012.jpg

65 0.349781173 0.4479341239 0.6508423921 -0.5034007671 1.98596477 -0.2384836124 1.802401412 5 right_fisheye_image/00012.jpg

66 0.5981172697 0.7819395308 0.1406416538 -0.1051010327 -1.966913272 -0.3361501442 1.90997843 1 back_fisheye_image/00013.jpg

67 -0.5506581758 0.8248679648 0.004230178206 -0.1278691502 -2.938185142 -1.277496549 -1.10706822 2 frontleft_fisheye_image/00013.jpg

68 -0.4662691446 0.7704340614 0.2935384586 0.3207173446 -0.2797281175 -1.290859987 -3.075470531 3 frontright_fisheye_image/00013.jpg

69 0.5048400441 0.653942435 -0.4427708244 0.3484965117 -2.36382079 0.6762501667 -1.884605669 4 left_fisheye_image/00013.jpg

70 0.3452427118 0.4359582836 0.6552404461 -0.5112805519 2.414856078 -0.1942152373 1.735155323 5 right_fisheye_image/00013.jpg

71 0.5914484269 0.77677157 0.171796728 -0.1315316339 -1.759835301 -0.4609177535 2.377625939 1 back_fisheye_image/00014.jpg

72 -0.5559226614 0.823772254 0.03532327372 -0.1053638195 -2.997830147 -1.470723953 -1.580702182 2 frontleft_fisheye_image/00014.jpg

73 -0.4524287079 0.75859419 0.3247152095 0.3382353497 0.1326867151 -1.51587164 -3.358144686 3 frontright_fisheye_image/00014.jpg

74 0.5166550343 0.6691410817 -0.4208679999 0.3289193137 -2.82249745 0.6477157777 -1.709561543 4 left_fisheye_image/00014.jpg

75 0.3264793167 0.4134656867 0.6696705503 -0.5234488856 2.865030264 -0.1488180829 1.557945051 5 right_fisheye_image/00014.jpg

76 0.5727975986 0.7539717019 0.2518322137 -0.2000252981 -1.070734438 -0.6046408323 2.975589406 1 back_fisheye_image/00015.jpg

77 -0.5645611843 0.8135110237 0.1314053513 -0.04693737514 -2.663965938 -1.761678962 -2.419383969 2 frontleft_fisheye_image/00015.jpg

78 -0.4106044919 0.7172192969 0.4099921737 0.385884502 1.042601137 -1.783882439 -3.440260726 3 frontright_fisheye_image/00015.jpg

79 0.5511839696 0.7123612436 -0.341647261 0.2683558073 -3.462070853 0.463864636 -1.005893567 4 left_fisheye_image/00015.jpg

80 0.2683644341 0.3398361452 0.7108288353 -0.554269151 3.451428858 0.02050014662 0.8895215752 5 right_fisheye_image/00015.jpg

81 0.5681186361 0.7429967804 0.2780347555 -0.2188462347 -0.8196760297 -0.6955575196 3.369364159 1 back_fisheye_image/00016.jpg

82 -0.5660351544 0.8069131418 0.1671224767 -0.02377947378 -2.573613934 -1.93860708 -2.901685327 2 frontleft_fisheye_image/00016.jpg

83 -0.3902062474 0.6955035448 0.4485395896 0.4035172118 1.576864425 -1.960551552 -3.542813712 3 frontright_fisheye_image/00016.jpg

84 0.5605918749 0.7326256705 -0.305587611 0.2358232152 -3.848526052 0.3747298987 -0.6051756252 4 left_fisheye_image/00016.jpg

85 0.2332033765 0.2906953454 0.7276073853 -0.5759339322 3.874760517 0.1476586554 0.3895774781 5 right_fisheye_image/00016.jpg

86 0.5252825792 0.6945204149 0.3868793873 -0.3033874502 0.4292733369 -0.8254480291 3.706315192 1 back_fisheye_image/00017.jpg

87 -0.5647158443 0.7709146822 0.2877988574 0.06291570272 -1.647280505 -2.047340557 -3.814612643 2 frontleft_fisheye_image/00017.jpg

88 -0.3258066306 0.6173835692 0.5500748049 0.4583724217 2.811959628 -2.045759718 -3.105312148 3 frontright_fisheye_image/00017.jpg

89 0.5893749076 0.7751761812 -0.1792468204 0.1400345804 -4.146396597 -0.007312639701 0.7381281747 4 left_fisheye_image/00017.jpg

90 0.1423714075 0.1750122761 0.7623725969 -0.6065386294 4.131037399 0.4426474135 -0.8729780384 5 right_fisheye_image/00017.jpg

91 0.4635468265 0.6136835884 0.5037018282 -0.3934479141 1.943471747 -0.805118215 3.59386621 1 back_fisheye_image/00018.jpg

92 -0.5434137703 0.708593729 0.4200687531 0.1616745006 -0.2910546037 -1.979483446 -4.471874331 2 frontleft_fisheye_image/00018.jpg

93 -0.2407506827 0.5148795961 0.6478269856 0.5072063752 3.971651759 -1.973981347 -2.214218072 3 frontright_fisheye_image/00018.jpg

94 0.6062130535 0.792133418 -0.05519773902 0.04453752977 -3.982464908 -0.33822119 2.03006353 4 left_fisheye_image/00018.jpg

95 0.04345657252 0.04764911467 0.7845178706 -0.616743706 3.963008681 0.7986352922 -2.201291813 5 right_fisheye_image/00018.jpg

96 0.4610953306 0.5961728204 0.523275158 -0.397683509 2.165800879 -0.7987586157 3.799976828 1 back_fisheye_image/00019.jpg

97 -0.5359170446 0.7072056311 0.4280054285 0.1716521766 -0.2788055893 -2.122084786 -4.719151352 2 frontleft_fisheye_image/00019.jpg

98 -0.2331005677 0.5122022492 0.6472483783 0.5141814058 4.151846416 -2.115204476 -2.340996905 3 frontright_fisheye_image/00019.jpg

99 0.613873247 0.786772047 -0.05081443611 0.03958883364 -4.255842907 -0.3051439238 2.127645835 4 left_fisheye_image/00019.jpg

100 0.04256505054 0.04683559183 0.7892241025 -0.6108354606 4.260213022 0.8469714502 -2.232735064 5 right_fisheye_image/00019.jpg

101 0.449709296 0.5894025006 0.5313667053 -0.4098971406 2.364737734 -0.894582436 4.00878301 1 back_fisheye_image/00020.jpg

102 -0.5343958686 0.6911236675 0.4502693145 0.1844632111 -0.1051877295 -2.168377501 -5.010858886 2 frontleft_fisheye_image/00020.jpg

103 -0.2123096699 0.4807735039 0.6744370058 0.5185712749 4.58836523 -2.129887428 -2.194985835 3 frontright_fisheye_image/00020.jpg

104 0.6078231004 0.7939002327 -0.01306713691 0.01013652244 -4.320481945 -0.464134185 2.560962728 4 left_fisheye_image/00020.jpg

105 0.0009651243113 -0.00496302466 0.782060746 -0.6231816963 4.22040816 0.9166815122 -2.854654663 5 right_fisheye_image/00020.jpg

106 0.3759561575 0.4887582052 0.624714324 -0.4790661728 3.799013545 -0.6827030682 3.329881026 1 back_fisheye_image/00021.jpg

107 -0.4950598047 0.6138652128 0.5530928799 0.268651366 1.351062506 -1.901624927 -5.149884239 2 frontleft_fisheye_image/00021.jpg

108 -0.132437127 0.3830301651 0.7302710734 0.5499567796 5.279543304 -1.918233564 -1.105529367 3 frontright_fisheye_image/00021.jpg

109 0.6125847618 0.7816403732 0.09329518393 -0.07123373709 -3.797594796 -0.6825764334 3.650218511 4 left_fisheye_image/00021.jpg

110 -0.06986766686 -0.09634810954 0.7848882498 -0.6081003093 3.772201225 1.226981225 -3.752309863 5 right_fisheye_image/00021.jpg

111 0.3960942726 0.5115543765 0.6057415848 -0.4631399135 3.527866679 -0.8176873775 3.913670768 1 back_fisheye_image/00022.jpg

112 -0.503252594 0.6362292437 0.5286324749 0.249993765 0.8386100914 -2.182956442 -5.48990674 2 frontleft_fisheye_image/00022.jpg

113 -0.1529497252 0.4104395392 0.7166274321 0.5427622774 5.362560362 -2.173603959 -1.705810419 3 frontright_fisheye_image/00022.jpg

114 0.6121866081 0.786130751 0.06690572951 -0.052436844 -4.346256222 -0.6419480913 3.440808954 4 left_fisheye_image/00022.jpg

115 -0.04779804327 -0.07215969779 0.7828078511 -0.6162144053 4.334650028 1.153809468 -3.557879186 5 right_fisheye_image/00022.jpg

