# Image list with two lines of data per image:
#   IMAGE_ID QW QX QY QZ TX TY TZ CAMERA_ID NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 90, mean observations per image: 0
41 0.5569291144 0.7281010734 0.3147628999 -0.2462175972 -0.6236103824 -0.3958614972 2.286656492 1 back_fisheye_image/00008.jpg

42 -0.5676793664 0.7998761895 0.194688444 -0.005884562605 -1.97218677 -1.463366534 -2.047095799 2 frontleft_fisheye_image/00008.jpg

43 -0.3848937531 0.6862281166 0.4626511688 0.4085360043 0.9846465231 -1.473749577 -2.673269238 3 frontright_fisheye_image/00008.jpg

44 0.5617621142 0.7362491626 -0.2953310321 0.2348192476 -2.709105874 0.3849705789 -0.7040523291 4 left_fisheye_image/00008.jpg

45 0.2317599381 0.2961031892 0.7266962467 -0.5749111214 2.69863564 0.08513309699 0.5877066806 5 right_fisheye_image/00008.jpg

46 0.5713067876 0.7503090426 0.2693705577 -0.1951522423 -1.033030553 -0.4954163173 2.44074527 1 back_fisheye_image/00009.jpg

47 -0.5642858242 0.8147597994 0.1285150954 -0.03509769293 -2.422475181 -1.495551279 -2.007405943 2 frontleft_fisheye_image/00009.jpg

48 -0.4130846491 0.7128861816 0.4068633403 0.394482683 0.758865453 -1.505049461 -3.023052306 3 frontright_fisheye_image/00009.jpg

49 0.5534965711 0.711191041 -0.3374986659 0.2719255404 -2.878322507 0.4516047669 -1.033242406 4 left_fisheye_image/00009.jpg

50 0.2667677688 0.3373542524 0.7131918344 -0.5535200748 2.890394264 0.02627641009 0.9051091939 5 right_fisheye_image/00009.jpg

51 0.5748163268 0.7509302157 0.2571039721 -0.1989662007 -1.092884344 -0.513860294 2.710391355 1 back_fisheye_image/00010.jpg

52 -0.5613410834 0.8160020908 0.1310553836 -0.04314234884 -2.556317428 -1.654572289 -2.166311804 2 frontleft_fisheye_image/00010.jpg

53 -0.4087983336 0.7170524125 0.4069979879 0.3912446779 0.8639193024 -1.667899438 -3.230155015 3 frontright_fisheye_image/00010.jpg

54 0.5550526194 0.7098557072 -0.340617071 0.2683309067 -3.141188411 0.4932613651 -1.037985626 4 left_fisheye_image/00010.jpg

55 0.2645107213 0.3416257941 0.7154509173 -0.5490499795 3.161522799 0.006760499627 0.9242903667 5 right_fisheye_image/00010.jpg

56 0.5699583386 0.7538471669 0.2558750834 -0.2034450367 -1.087946953 -0.606806233 3.004495864 1 back_fisheye_image/00011.jpg

57 -0.568051636 0.810793355 0.1332448007 -0.04666151903 -2.69372806 -1.758870287 -2.393171443 2 frontleft_fisheye_image/00011.jpg

58 -0.4137121887 0.7161829484 0.4120166043 0.3823173121 0.9823910932 -1.779362231 -3.45714172 3 frontright_fisheye_image/00011.jpg

59 0.5466398018 0.7152767915 -0.3422370595 0.2691427758 -3.437471203 0.4855986202 -1.067262018 4 left_fisheye_image/00011.jpg

60 0.268719795 0.3408035536 0.7071784721 -0.5581587751 3.427815122 0.009827509887 0.9538529004 5 right_fisheye_image/00011.jpg

61 0.5707024472 0.7480456946 0.2690665143 -0.2057415038 -0.9886471988 -0.6855608207 3.27512683 1 back_fisheye_image/00012.jpg

62 -0.5646655445 0.8114920613 0.1466959746 -0.0333728683 -2.714988951 -1.891735184 -2.706581246 2 frontleft_fisheye_image/00012.jpg

63 -0.4043541635 0.7094083 0.4219105963 0.3939911459 1.245267668 -1.899753997 -3.60125213 3 frontright_fisheye_image/00012.jpg

64 0.5561013233 0.721634112 -0.3252044909 0.2534513084 -3.740813754 0.4452336854 -0.8643540992 4 left_fisheye_image/00012.jpg

65 0.2518104135 0.3177271131 0.7197083368 -0.5636141474 3.769294373 0.07469277179 0.705218727 5 right_fisheye_image/00012.jpg

66 0.5485131326 0.7211392834 0.3329323333 -0.261242299 -0.235077654 -0.7925521198 3.7023031 1 back_fisheye_image/00013.jpg

67 -0.5673831666 0.7919040418 0.2251086711 0.01704162436 -2.241579404 -2.077468054 -3.454950614 2 frontleft_fisheye_image/00013.jpg

68 -0.3660405062 0.6665724705 0.4897781902 0.4263951381 2.122094021 -2.082416766 -3.520096981 3 frontright_fisheye_image/00013.jpg

69 0.574610013 0.7532070323 -0.2529498971 0.1962621946 -4.17501177 0.2312939867 -0.06269512173 4 left_fisheye_image/00013.jpg

70 0.1999551016 0.2477338962 0.7431303349 -0.5885602598 4.162919011 0.2723054279 -0.05477836734 5 right_fisheye_image/00013.jpg

71 0.5090492163 0.6732090134 0.420205636 -0.3332952792 0.8817483499 -0.8830343555 3.983490611 1 back_fisheye_image/00014.jpg

72 -0.5620252924 0.7533916579 0.3295050253 0.08919091171 -1.375156062 -2.174351041 -4.265057489 2 frontleft_fisheye_image/00014.jpg

73 -0.301230152 0.5882133604 0.5838599313 0.4715644375 3.339045649 -2.170731816 -3.058354674 3 frontright_fisheye_image/00014.jpg

74 0.5934870761 0.7824767958 -0.1488684655 0.1155046947 -4.408278332 -0.08741603553 1.090714547 4 left_fisheye_image/00014.jpg

75 0.1106074506 0.1339653131 0.7699052193 -0.6140563819 4.392794952 0.5650924674 -1.334958784 5 right_fisheye_image/00014.jpg

76 0.487356569 0.632725924 0.4781586863 -0.3653843871 1.591587253 -0.9094687119 4.21683274 1 back_fisheye_image/00015.jpg

77 -0.5467669191 0.7360680702 0.3764881151 0.1323118717 -0.9761590219 -2.316769804 -4.750554722 2 frontleft_fisheye_image/00015.jpg

78 -0.2696400748 0.5572418629 0.6096038734 0.4951351875 3.880942917 -2.318877425 -2.99941735 3 frontright_fisheye_image/00015.jpg

79 0.6075488639 0.7824934715 -0.1069135385 0.08460402047 -4.728814299 -0.1776566586 1.551249043 4 left_fisheye_image/00015.jpg

80 0.08605358612 0.1038099292 0.7813456885 -0.6093580179 4.71092602 0.6842389815 -1.666029765 5 right_fisheye_image/00015.jpg

81 0.4818471539 0.6291576041 0.4827536362 -0.3727371141 1.703165272 -1.027495574 4.599183937 1 back_fisheye_image/00016.jpg

82 -0.547630728 0.7272528504 0.3896827506 0.1391087027 -1.007429142 -2.455876404 -5.149493073 2 frontleft_fisheye_image/00016.jpg

83 -0.2578822673 0.54277215 0.6250694697 0.498179975 4.271873022 -2.471767903 -3.144727381 3 frontright_fisheye_image/00016.jpg

84 0.6057535281 0.78922843 -0.08081033275 0.06042216924 -5.047310803 -0.2679707509 1.912988045 4 left_fisheye_image/00016.jpg

85 0.06655133146 0.07375155631 0.7810662844 -0.6164958131 5.027334804 0.7806135793 -2.030136381 5 right_fisheye_image/00016.jpg

86 0.4301874246 0.5624961085 0.5580167954 -0.4326131803 3.01179996 -0.9593391795 4.353252523 1 back_fisheye_image/00017.jpg

87 -0.5231824304 0.6760797022 0.4765305508 0.205219431 0.2133154512 -2.375421855 -5.568756548 2 frontleft_fisheye_image/00017.jpg

88 -0.1969241647 0.4680021172 0.6818146322 0.5266153235 5.132541235 -2.364550572 -2.285440999 3 frontright_fisheye_image/00017.jpg

89 0.616298266 0.7875042179 0.003021647582 -0.002103298615 -4.756738688 -0.498094343 2.970840273 4 left_fisheye_image/00017.jpg

90 9.148485202e-05 -0.006799148803 0.7918182014 -0.6107190017 4.731751423 1.084708364 -3.070649577 5 right_fisheye_image/00017.jpg

