# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
#
22 -0.551127828 -0.007368733 0.824209138 0.129935047 0.982650417 0.183788712 -1.617107812 7 frontright_depth/00002.png

23 -0.549304644 -0.006195936 0.824948568 0.132988270 0.911688801 0.184012199 -1.615977418 8 frontright_depth_in_visual_frame/00002.png

24 -0.549304644 -0.006195936 0.824948568 0.132988270 0.911688801 0.184012199 -1.615977418 9 frontright_fisheye_image/00002.jpg

25 0.602667453 0.778965189 -0.135557529 0.107839377 -1.177527520 0.484282553 -0.743871922 10 left_depth/00002.png

26 0.600194543 0.780092660 -0.136758109 0.111889100 -1.251129114 0.482427886 -0.753305841 11 left_depth_in_visual_frame/00002.png

27 0.600194543 0.780092660 -0.136758109 0.111889100 -1.251129114 0.482427886 -0.753305841 12 left_fisheye_image/00002.jpg

28 -0.606435058 0.775648301 -0.139037709 -0.106182620 -1.162881528 -0.122780473 0.678734033 13 right_depth/00002.png

29 -0.608722198 0.773816320 -0.137601007 -0.108312285 -1.239559905 -0.132445559 0.677182827 14 right_depth_in_visual_frame/00002.png

30 -0.608722198 0.773816320 -0.137601007 -0.108312285 -1.239559905 -0.132445559 0.677182827 15 right_fisheye_image/00002.jpg

1 0.495681893 0.655478522 0.451788985 -0.347180185 -0.778985602 0.013982630 0.952357192 1 back_depth_in_visual_frame/00001.png

2 0.494801527 0.653125971 0.454764428 -0.348980271 -0.693101050 0.012184925 0.959624966 2 back_depth/00001.png

3 0.495681893 0.655478522 0.451788985 -0.347180185 -0.778985602 0.013982630 0.952357192 3 back_fisheye_image/00001.jpg

4 -0.473045739 0.283932002 0.771264743 -0.317428801 0.983808990 -1.425115914 -0.855778452 4 frontleft_depth/00001.png

5 -0.472374436 0.283353812 0.772559912 -0.315791373 0.909146386 -1.421786099 -0.860443141 5 frontleft_depth_in_visual_frame/00001.png

6 -0.472374436 0.283353812 0.772559912 -0.315791373 0.909146386 -1.421786099 -0.860443141 6 frontleft_fisheye_image/00001.jpg

7 -0.551210497 -0.008607829 0.824049908 0.130516825 0.986800324 0.188170300 -1.616276890 7 frontright_depth/00001.png

8 -0.549383691 -0.007436641 0.824792026 0.133567847 0.915861034 0.188366698 -1.615116437 8 frontright_depth_in_visual_frame/00001.png

9 -0.549383691 -0.007436641 0.824792026 0.133567847 0.915861034 0.188366698 -1.615116437 9 frontright_fisheye_image/00001.jpg

10 0.602714549 0.779219501 -0.134330126 0.107273294 -1.180672738 0.486323313 -0.739032716 10 left_depth/00001.png

